epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1088.61,0.92659,0.54808,1.4711,0.98251,0.97985,0.98339,0.81035,0.72668,0.3753,1.26869,0.0091882,0.0091882,0.0091882
43,1114.94,0.91706,0.53595,1.46243,0.98264,0.98134,0.98491,0.81091,0.74401,0.36608,1.28797,0.0091684,0.0091684,0.0091684
44,1140.96,0.91585,0.52719,1.45739,0.98336,0.98471,0.98481,0.82123,0.7301,0.3812,1.27779,0.0091486,0.0091486,0.0091486
45,1167.03,0.92436,0.53829,1.46313,0.97744,0.98713,0.98168,0.80441,0.75908,0.38186,1.29686,0.0091288,0.0091288,0.0091288
46,1192.89,0.90318,0.53683,1.45118,0.9833,0.98101,0.98211,0.80467,0.7589,0.37698,1.28737,0.009109,0.009109,0.009109
47,1219.05,0.91229,0.53161,1.44592,0.98254,0.98241,0.98368,0.81549,0.7329,0.36384,1.26698,0.0090892,0.0090892,0.0090892
48,1245.57,0.90059,0.52576,1.43098,0.98292,0.98305,0.9848,0.80592,0.76189,0.37374,1.29795,0.0090694,0.0090694,0.0090694
49,1270.86,0.90166,0.51779,1.43271,0.9807,0.98471,0.98262,0.81693,0.73213,0.36012,1.27173,0.0090496,0.0090496,0.0090496
50,1295.94,0.89893,0.52602,1.43063,0.97615,0.985,0.98371,0.79801,0.78015,0.37278,1.30626,0.0090298,0.0090298,0.0090298
51,1321.11,0.89141,0.51758,1.4254,0.98241,0.98681,0.984,0.8173,0.73942,0.36328,1.27132,0.00901,0.00901,0.00901
52,1346.18,0.89085,0.51737,1.41875,0.97767,0.98529,0.98422,0.81117,0.74798,0.37428,1.28219,0.0089902,0.0089902,0.0089902
53,1371.39,0.88292,0.50349,1.40988,0.9841,0.98544,0.98314,0.81102,0.74927,0.36752,1.27099,0.0089704,0.0089704,0.0089704
54,1396.52,0.88383,0.5045,1.41475,0.98522,0.98721,0.98378,0.81645,0.73108,0.36155,1.26291,0.0089506,0.0089506,0.0089506
55,1421.7,0.87909,0.50067,1.40388,0.98375,0.987,0.98409,0.8179,0.72494,0.35676,1.26038,0.0089308,0.0089308,0.0089308
56,1446.95,0.87587,0.49587,1.39981,0.98531,0.98478,0.98457,0.82129,0.72053,0.36235,1.25431,0.008911,0.008911,0.008911
57,1472.17,0.8791,0.50012,1.39927,0.98514,0.98357,0.98405,0.82395,0.70577,0.3584,1.24591,0.0088912,0.0088912,0.0088912
58,1497.35,0.8686,0.49443,1.39473,0.98176,0.98963,0.98391,0.82307,0.70232,0.33666,1.24985,0.0088714,0.0088714,0.0088714
59,1522.61,0.86459,0.49144,1.39441,0.98339,0.98947,0.98157,0.81578,0.73313,0.34288,1.26021,0.0088516,0.0088516,0.0088516
60,1547.77,0.87134,0.48981,1.39497,0.98289,0.9837,0.98503,0.82204,0.7284,0.34187,1.25673,0.0088318,0.0088318,0.0088318
61,1572.93,0.8621,0.49036,1.38525,0.97923,0.97726,0.98355,0.82585,0.70108,0.34903,1.23749,0.008812,0.008812,0.008812
62,1598.22,0.86689,0.49502,1.39101,0.98527,0.98714,0.98462,0.82382,0.71267,0.34811,1.25788,0.0087922,0.0087922,0.0087922
63,1623.53,0.85971,0.49204,1.38385,0.9848,0.98721,0.98572,0.8235,0.72037,0.35221,1.25493,0.0087724,0.0087724,0.0087724
64,1648.75,0.8597,0.48588,1.37889,0.98295,0.98424,0.98275,0.82023,0.71876,0.34489,1.25561,0.0087526,0.0087526,0.0087526
65,1673.98,0.85067,0.48082,1.38023,0.9799,0.98963,0.98424,0.83203,0.70075,0.34226,1.23456,0.0087328,0.0087328,0.0087328
66,1699.23,0.84656,0.47665,1.372,0.98379,0.98721,0.9832,0.8182,0.71937,0.34401,1.25159,0.008713,0.008713,0.008713
67,1724.44,0.8598,0.48129,1.38297,0.98497,0.98763,0.98664,0.82337,0.71779,0.33612,1.24392,0.0086932,0.0086932,0.0086932
68,1749.51,0.85525,0.47547,1.37631,0.98443,0.9865,0.98466,0.82566,0.6871,0.33227,1.2269,0.0086734,0.0086734,0.0086734
69,1774.64,0.86002,0.48287,1.37727,0.98563,0.98959,0.98411,0.81996,0.71403,0.33786,1.23956,0.0086536,0.0086536,0.0086536
70,1799.86,0.83791,0.46951,1.36203,0.98434,0.98721,0.98503,0.82097,0.71841,0.32911,1.25259,0.0086338,0.0086338,0.0086338
71,1825.17,0.84369,0.47363,1.35976,0.98529,0.98609,0.98182,0.82105,0.7092,0.34176,1.24177,0.008614,0.008614,0.008614
72,1850.48,0.8454,0.48001,1.36011,0.98544,0.98721,0.98267,0.82153,0.70036,0.33463,1.23761,0.0085942,0.0085942,0.0085942
73,1875.75,0.83947,0.48123,1.3573,0.98566,0.98478,0.98407,0.82726,0.69881,0.33364,1.23638,0.0085744,0.0085744,0.0085744
74,1900.91,0.84012,0.46895,1.35158,0.98502,0.98721,0.98684,0.82659,0.71716,0.32956,1.24399,0.0085546,0.0085546,0.0085546
75,1926.14,0.84806,0.47795,1.37026,0.98526,0.98963,0.98449,0.83114,0.69667,0.33372,1.23386,0.0085348,0.0085348,0.0085348
76,1951.22,0.83769,0.47025,1.35378,0.98291,0.98963,0.98629,0.82902,0.70403,0.32468,1.23479,0.008515,0.008515,0.008515
77,1976.27,0.84074,0.46597,1.35942,0.98304,0.98913,0.98337,0.82836,0.70085,0.32782,1.23083,0.0084952,0.0084952,0.0084952
78,2001.59,0.83014,0.45772,1.34216,0.98413,0.98837,0.98263,0.82233,0.69218,0.32134,1.22725,0.0084754,0.0084754,0.0084754
79,2026.96,0.83008,0.46332,1.34751,0.98331,0.9882,0.98434,0.82504,0.69734,0.31982,1.23871,0.0084556,0.0084556,0.0084556
80,2052.22,0.82892,0.4626,1.34146,0.98498,0.98738,0.9838,0.82498,0.70586,0.33005,1.23725,0.0084358,0.0084358,0.0084358
81,2077.5,0.83618,0.46755,1.34784,0.98555,0.98822,0.98524,0.82938,0.70021,0.32455,1.24341,0.008416,0.008416,0.008416
82,2102.79,0.82603,0.45313,1.33698,0.98205,0.98963,0.98396,0.82577,0.6916,0.32476,1.23335,0.0083962,0.0083962,0.0083962
83,2128.03,0.81926,0.45352,1.32593,0.98514,0.98963,0.98502,0.83132,0.68532,0.32725,1.2248,0.0083764,0.0083764,0.0083764
84,2153.25,0.83131,0.46308,1.33133,0.98496,0.98963,0.98384,0.83313,0.69143,0.32459,1.22352,0.0083566,0.0083566,0.0083566
85,2178.57,0.81807,0.45831,1.31848,0.98577,0.98783,0.98273,0.82624,0.69124,0.32447,1.22874,0.0083368,0.0083368,0.0083368
86,2203.93,0.82526,0.45623,1.32683,0.98448,0.9893,0.98409,0.82773,0.68597,0.31938,1.22861,0.008317,0.008317,0.008317
87,2229.23,0.81115,0.43792,1.31866,0.98575,0.98738,0.98674,0.83563,0.69512,0.31991,1.22966,0.0082972,0.0082972,0.0082972
88,2254.44,0.82363,0.45231,1.33174,0.98514,0.98721,0.9842,0.82567,0.68964,0.31692,1.22578,0.0082774,0.0082774,0.0082774
89,2279.62,0.82017,0.44735,1.32845,0.98511,0.98601,0.98593,0.83192,0.69733,0.32989,1.23299,0.0082576,0.0082576,0.0082576
90,2304.88,0.81455,0.44804,1.31636,0.98231,0.9893,0.98378,0.83449,0.67832,0.32266,1.21781,0.0082378,0.0082378,0.0082378
91,2330.02,0.81644,0.44407,1.31759,0.98536,0.98674,0.98347,0.82731,0.69067,0.31894,1.22632,0.008218,0.008218,0.008218
92,2355.26,0.80852,0.45029,1.31266,0.98345,0.98643,0.98261,0.8277,0.68235,0.31237,1.21908,0.0081982,0.0081982,0.0081982
93,2380.39,0.82339,0.45245,1.31847,0.98534,0.98607,0.98601,0.83415,0.68046,0.31263,1.21643,0.0081784,0.0081784,0.0081784
94,2405.46,0.81216,0.44135,1.30822,0.98589,0.98432,0.98081,0.82089,0.68611,0.31988,1.23207,0.0081586,0.0081586,0.0081586
95,2430.64,0.81005,0.44249,1.30703,0.98528,0.98872,0.98527,0.8334,0.68484,0.31768,1.2157,0.0081388,0.0081388,0.0081388
96,2455.87,0.80845,0.44284,1.30864,0.98556,0.98963,0.98411,0.83144,0.68434,0.30923,1.21331,0.008119,0.008119,0.008119
97,2481.09,0.81029,0.43511,1.32138,0.98554,0.98912,0.98432,0.8294,0.68417,0.31669,1.22191,0.0080992,0.0080992,0.0080992
98,2506.25,0.80212,0.4421,1.31297,0.9855,0.98721,0.98547,0.83748,0.68572,0.30759,1.21819,0.0080794,0.0080794,0.0080794
99,2531.51,0.80263,0.42934,1.30003,0.98505,0.98955,0.98395,0.83666,0.68192,0.30208,1.22191,0.0080596,0.0080596,0.0080596
100,2556.73,0.8033,0.44325,1.30874,0.98588,0.98963,0.98624,0.83732,0.67924,0.30373,1.214,0.0080398,0.0080398,0.0080398
101,2581.91,0.80257,0.44438,1.29622,0.98547,0.98721,0.98512,0.83534,0.68358,0.30811,1.21433,0.00802,0.00802,0.00802
102,2607.06,0.80138,0.43523,1.30201,0.98542,0.98963,0.98414,0.83193,0.69169,0.31013,1.22097,0.0080002,0.0080002,0.0080002
103,2632.18,0.79714,0.43872,1.29563,0.98557,0.98941,0.98458,0.83558,0.66997,0.30426,1.20837,0.0079804,0.0079804,0.0079804
104,2657.39,0.80039,0.42411,1.28666,0.98569,0.98963,0.985,0.83471,0.68737,0.30104,1.21621,0.0079606,0.0079606,0.0079606
105,2682.68,0.79517,0.42613,1.29619,0.98234,0.98919,0.98271,0.82805,0.67982,0.30145,1.21244,0.0079408,0.0079408,0.0079408
106,2707.92,0.79146,0.42311,1.28741,0.98536,0.98721,0.98186,0.83593,0.67424,0.29373,1.21469,0.007921,0.007921,0.007921
107,2732.94,0.79136,0.42425,1.28959,0.98572,0.98669,0.98286,0.83433,0.68077,0.29476,1.21448,0.0079012,0.0079012,0.0079012
108,2758.18,0.80056,0.43301,1.30657,0.98599,0.98945,0.9856,0.83916,0.68315,0.30482,1.21883,0.0078814,0.0078814,0.0078814
109,2783.4,0.79524,0.42564,1.27841,0.98604,0.98761,0.98258,0.83349,0.67671,0.3075,1.21369,0.0078616,0.0078616,0.0078616
