epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,4473.9,0.73592,0.38171,1.21374,0.98521,0.98721,0.98677,0.84719,0.65632,0.28803,1.19446,0.0065152,0.0065152,0.0065152
178,4498.72,0.72895,0.37708,1.2054,0.98537,0.98721,0.98625,0.84462,0.658,0.2824,1.19384,0.0064954,0.0064954,0.0064954
179,4523.68,0.72717,0.38156,1.20614,0.985,0.98721,0.98575,0.84345,0.6576,0.27874,1.19213,0.0064756,0.0064756,0.0064756
180,4548.61,0.72642,0.37677,1.20833,0.98555,0.98878,0.98519,0.84612,0.65581,0.27657,1.19271,0.0064558,0.0064558,0.0064558
181,4573.44,0.73551,0.38561,1.21746,0.98559,0.98962,0.98724,0.84254,0.65611,0.28251,1.19293,0.006436,0.006436,0.006436
182,4598.44,0.7253,0.37324,1.19944,0.98586,0.9893,0.98426,0.84087,0.65772,0.27844,1.19275,0.0064162,0.0064162,0.0064162
183,4623.36,0.72421,0.37102,1.20142,0.98575,0.98963,0.98669,0.84692,0.65532,0.28147,1.19091,0.0063964,0.0063964,0.0063964
184,4648.26,0.73361,0.37647,1.21014,0.98507,0.98963,0.9851,0.8449,0.65583,0.28019,1.19028,0.0063766,0.0063766,0.0063766
185,4673.04,0.73107,0.37858,1.2078,0.98491,0.98949,0.98712,0.84384,0.65962,0.28761,1.19377,0.0063568,0.0063568,0.0063568
186,4697.95,0.73417,0.3763,1.2049,0.98492,0.98855,0.98783,0.84126,0.65788,0.29208,1.19348,0.006337,0.006337,0.006337
187,4722.78,0.72322,0.37499,1.20044,0.98108,0.98963,0.98536,0.8407,0.65918,0.29906,1.19411,0.0063172,0.0063172,0.0063172
188,4747.68,0.72813,0.37782,1.20547,0.98073,0.98917,0.98627,0.84387,0.65841,0.29462,1.1933,0.0062974,0.0062974,0.0062974
189,4772.48,0.72554,0.37413,1.20382,0.98519,0.98721,0.98721,0.84625,0.65726,0.28983,1.19162,0.0062776,0.0062776,0.0062776
190,4797.31,0.71838,0.37038,1.19389,0.985,0.98949,0.98542,0.84345,0.6564,0.28571,1.19052,0.0062578,0.0062578,0.0062578
191,4822.13,0.72155,0.37634,1.19605,0.98444,0.98963,0.98628,0.84664,0.65351,0.28145,1.18744,0.006238,0.006238,0.006238
192,4846.93,0.72964,0.37335,1.20658,0.98399,0.98963,0.98585,0.8466,0.65101,0.28082,1.18553,0.0062182,0.0062182,0.0062182
193,4871.79,0.73001,0.38168,1.20689,0.98337,0.98963,0.98544,0.8474,0.65076,0.28092,1.18562,0.0061984,0.0061984,0.0061984
194,4896.65,0.7235,0.37219,1.20311,0.98132,0.98903,0.98501,0.84562,0.65212,0.28568,1.18586,0.0061786,0.0061786,0.0061786
195,4921.47,0.72641,0.37976,1.2012,0.98087,0.98883,0.98479,0.8457,0.65423,0.28805,1.18753,0.0061588,0.0061588,0.0061588
196,4946.4,0.7239,0.37435,1.20595,0.98602,0.98432,0.986,0.84614,0.65651,0.29218,1.18795,0.006139,0.006139,0.006139
197,4971.32,0.72061,0.36856,1.19921,0.98609,0.98415,0.98622,0.84715,0.6549,0.28917,1.188,0.0061192,0.0061192,0.0061192
198,4996.25,0.71372,0.36941,1.19345,0.98478,0.98478,0.98647,0.84642,0.65494,0.28303,1.18793,0.0060994,0.0060994,0.0060994
199,5021.13,0.72133,0.37298,1.19934,0.98392,0.98478,0.98681,0.84776,0.65493,0.28695,1.18947,0.0060796,0.0060796,0.0060796
200,5046.06,0.72342,0.37366,1.20111,0.98327,0.985,0.98684,0.84884,0.65466,0.28815,1.1891,0.0060598,0.0060598,0.0060598
201,5070.98,0.71139,0.3688,1.18956,0.98349,0.98482,0.98628,0.84808,0.65459,0.28798,1.18958,0.00604,0.00604,0.00604
202,5095.87,0.71059,0.36534,1.19193,0.98422,0.98478,0.98716,0.8494,0.65288,0.28187,1.18787,0.0060202,0.0060202,0.0060202
203,5120.76,0.71367,0.36464,1.19844,0.98483,0.98478,0.98718,0.84754,0.65194,0.28647,1.18748,0.0060004,0.0060004,0.0060004
204,5145.62,0.71437,0.36958,1.18801,0.9841,0.98478,0.98686,0.8497,0.65142,0.2812,1.18704,0.0059806,0.0059806,0.0059806
205,5170.49,0.72034,0.37188,1.19537,0.98497,0.98478,0.98663,0.84775,0.65148,0.27706,1.18822,0.0059608,0.0059608,0.0059608
206,5195.38,0.71609,0.3662,1.19273,0.98484,0.98478,0.98623,0.84591,0.65167,0.27881,1.18963,0.005941,0.005941,0.005941
207,5220.21,0.715,0.37116,1.1901,0.98151,0.98938,0.98608,0.8471,0.65302,0.27894,1.19117,0.0059212,0.0059212,0.0059212
208,5245.19,0.71587,0.36866,1.19191,0.98145,0.98931,0.9855,0.84623,0.65207,0.27572,1.18906,0.0059014,0.0059014,0.0059014
209,5269.86,0.71342,0.37275,1.19144,0.9813,0.98915,0.98671,0.84705,0.6533,0.27865,1.18981,0.0058816,0.0058816,0.0058816
210,5294.77,0.71426,0.36051,1.19143,0.98151,0.98875,0.98642,0.84717,0.65272,0.27958,1.18898,0.0058618,0.0058618,0.0058618
211,5319.6,0.70665,0.36549,1.18621,0.98196,0.9891,0.98683,0.8478,0.65068,0.27618,1.18863,0.005842,0.005842,0.005842
212,5344.41,0.70704,0.36321,1.18442,0.98214,0.98963,0.98689,0.84711,0.65028,0.27424,1.18764,0.0058222,0.0058222,0.0058222
213,5369.32,0.71111,0.36641,1.18348,0.98244,0.98963,0.98692,0.84631,0.65141,0.27887,1.18705,0.0058024,0.0058024,0.0058024
214,5394.18,0.71139,0.36426,1.18864,0.98421,0.98721,0.98649,0.84766,0.65094,0.27168,1.18572,0.0057826,0.0057826,0.0057826
215,5418.97,0.70325,0.36082,1.18045,0.98213,0.98963,0.98564,0.84685,0.65374,0.27652,1.18878,0.0057628,0.0057628,0.0057628
216,5443.9,0.7023,0.35564,1.18078,0.98219,0.98963,0.98579,0.84678,0.65324,0.26926,1.18778,0.005743,0.005743,0.005743
217,5468.83,0.70615,0.36555,1.1832,0.98546,0.9887,0.98703,0.84531,0.65278,0.2714,1.18861,0.0057232,0.0057232,0.0057232
218,5493.72,0.70409,0.3634,1.18256,0.98552,0.98885,0.98732,0.84821,0.65052,0.27017,1.18704,0.0057034,0.0057034,0.0057034
219,5518.63,0.70043,0.35753,1.17683,0.98514,0.98721,0.98705,0.84741,0.64991,0.26962,1.18672,0.0056836,0.0056836,0.0056836
220,5543.54,0.72045,0.36909,1.19932,0.98186,0.98963,0.98708,0.84713,0.6501,0.27048,1.18729,0.0056638,0.0056638,0.0056638
221,5568.41,0.70444,0.36312,1.18102,0.98182,0.98956,0.98755,0.84669,0.64976,0.26982,1.18653,0.005644,0.005644,0.005644
222,5593.37,0.69797,0.35683,1.17436,0.98152,0.98963,0.98753,0.84549,0.6498,0.2717,1.18652,0.0056242,0.0056242,0.0056242
223,5618.17,0.69513,0.35625,1.17423,0.98123,0.98956,0.98636,0.84624,0.65064,0.27968,1.18647,0.0056044,0.0056044,0.0056044
224,5643.07,0.70514,0.36346,1.18272,0.98099,0.98952,0.98745,0.84725,0.6502,0.27579,1.18592,0.0055846,0.0055846,0.0055846
225,5668.05,0.70564,0.36126,1.17826,0.98113,0.98957,0.98734,0.84813,0.64987,0.27355,1.18591,0.0055648,0.0055648,0.0055648
226,5692.87,0.69833,0.35925,1.18062,0.98112,0.9895,0.98646,0.84749,0.64969,0.27106,1.186,0.005545,0.005545,0.005545
227,5717.7,0.69631,0.36126,1.17354,0.98085,0.98932,0.98686,0.84504,0.64906,0.27006,1.18498,0.0055252,0.0055252,0.0055252
228,5742.42,0.69919,0.36244,1.1773,0.98079,0.98927,0.98633,0.84326,0.64971,0.27157,1.18552,0.0055054,0.0055054,0.0055054
229,5767.3,0.7028,0.35521,1.18315,0.98078,0.98937,0.98616,0.84359,0.64895,0.26997,1.18551,0.0054856,0.0054856,0.0054856
230,5792.12,0.70255,0.36507,1.18082,0.98116,0.98963,0.98693,0.84472,0.64872,0.26886,1.18495,0.0054658,0.0054658,0.0054658
231,5816.97,0.70194,0.36151,1.17857,0.9813,0.98963,0.98728,0.84594,0.64848,0.27232,1.18439,0.005446,0.005446,0.005446
232,5841.81,0.70071,0.35906,1.17506,0.98127,0.98961,0.98728,0.84657,0.64777,0.27106,1.18368,0.0054262,0.0054262,0.0054262
233,5866.63,0.69491,0.35016,1.1724,0.9815,0.98962,0.98717,0.84757,0.648,0.2748,1.18434,0.0054064,0.0054064,0.0054064
234,5891.61,0.6945,0.35664,1.17676,0.98164,0.98963,0.98727,0.8463,0.64762,0.27113,1.18381,0.0053866,0.0053866,0.0053866
235,5916.5,0.69997,0.35983,1.17256,0.98151,0.98963,0.98787,0.84935,0.64786,0.27003,1.18416,0.0053668,0.0053668,0.0053668
236,5941.39,0.70012,0.35935,1.181,0.98192,0.98963,0.98775,0.84919,0.64778,0.27251,1.18427,0.005347,0.005347,0.005347
237,5966.24,0.69887,0.35989,1.18114,0.98195,0.98963,0.98776,0.84566,0.64836,0.27113,1.18458,0.0053272,0.0053272,0.0053272
238,5991.09,0.68913,0.35734,1.17025,0.98229,0.98963,0.98684,0.84399,0.64812,0.27118,1.18476,0.0053074,0.0053074,0.0053074
239,6016.03,0.68854,0.34911,1.16684,0.98226,0.98963,0.98689,0.845,0.6479,0.27094,1.18451,0.0052876,0.0052876,0.0052876
240,6040.93,0.69559,0.35861,1.18065,0.98222,0.98963,0.98662,0.84652,0.64754,0.27113,1.18454,0.0052678,0.0052678,0.0052678
241,6065.85,0.69207,0.35367,1.17165,0.98232,0.98963,0.98687,0.84773,0.64715,0.26822,1.1839,0.005248,0.005248,0.005248
242,6090.76,0.6807,0.34416,1.16195,0.98302,0.98753,0.98704,0.84991,0.64642,0.26629,1.18356,0.0052282,0.0052282,0.0052282
243,6115.6,0.69321,0.35282,1.16803,0.98538,0.98797,0.98668,0.84893,0.64676,0.26788,1.18368,0.0052084,0.0052084,0.0052084
244,6140.48,0.69452,0.35245,1.17242,0.98508,0.98899,0.9867,0.84648,0.64663,0.26998,1.18386,0.0051886,0.0051886,0.0051886
245,6165.18,0.68765,0.35441,1.16086,0.98493,0.98866,0.98682,0.84793,0.64759,0.271,1.18461,0.0051688,0.0051688,0.0051688
246,6190.05,0.68534,0.35615,1.16461,0.9858,0.98626,0.9877,0.84864,0.64786,0.27133,1.18501,0.005149,0.005149,0.005149
247,6214.78,0.68389,0.34618,1.16226,0.98158,0.98963,0.98745,0.84952,0.64734,0.27164,1.18462,0.0051292,0.0051292,0.0051292
248,6239.61,0.68584,0.34582,1.16896,0.9817,0.98932,0.98751,0.84863,0.64646,0.27296,1.18407,0.0051094,0.0051094,0.0051094
249,6264.46,0.70277,0.35624,1.17664,0.98503,0.98478,0.98726,0.84809,0.64694,0.27429,1.18448,0.0050896,0.0050896,0.0050896
250,6289.19,0.68545,0.34655,1.16542,0.98509,0.98478,0.98729,0.85347,0.64747,0.27441,1.18515,0.0050698,0.0050698,0.0050698
251,6314.12,0.69297,0.35264,1.1694,0.98466,0.98478,0.98763,0.85218,0.64758,0.27436,1.18481,0.00505,0.00505,0.00505
252,6338.99,0.69394,0.354,1.16903,0.9847,0.98478,0.98787,0.85282,0.64817,0.27584,1.18569,0.0050302,0.0050302,0.0050302
253,6363.9,0.68313,0.34851,1.16049,0.98439,0.98478,0.9875,0.85297,0.64795,0.27607,1.18542,0.0050104,0.0050104,0.0050104
254,6388.78,0.69085,0.35087,1.17445,0.98046,0.98935,0.98749,0.85187,0.64793,0.27435,1.18542,0.0049906,0.0049906,0.0049906
255,6413.69,0.69531,0.35496,1.17428,0.98065,0.98963,0.98729,0.85208,0.64821,0.27357,1.18608,0.0049708,0.0049708,0.0049708
256,6438.56,0.6804,0.35061,1.15989,0.98079,0.98963,0.98701,0.85262,0.64877,0.27171,1.18623,0.004951,0.004951,0.004951
257,6463.48,0.69085,0.34713,1.17105,0.98098,0.9891,0.98621,0.85096,0.64875,0.27466,1.18691,0.0049312,0.0049312,0.0049312
258,6488.37,0.6809,0.34516,1.15632,0.98072,0.9894,0.98689,0.85179,0.64864,0.27708,1.18701,0.0049114,0.0049114,0.0049114
259,6513.17,0.67914,0.3458,1.16456,0.9806,0.98939,0.98691,0.84975,0.64861,0.27709,1.18688,0.0048916,0.0048916,0.0048916
260,6538.03,0.67965,0.34288,1.15866,0.98064,0.98935,0.9877,0.85361,0.64837,0.27487,1.18609,0.0048718,0.0048718,0.0048718
261,6562.97,0.68054,0.34434,1.16062,0.98035,0.98927,0.98769,0.85171,0.64768,0.27453,1.18551,0.004852,0.004852,0.004852
262,6587.68,0.67774,0.34803,1.16597,0.98029,0.98926,0.98776,0.85189,0.64788,0.27501,1.18513,0.0048322,0.0048322,0.0048322
263,6612.49,0.68594,0.34785,1.16404,0.98025,0.98933,0.98781,0.85191,0.6477,0.27496,1.18525,0.0048124,0.0048124,0.0048124
264,6637.46,0.68863,0.35429,1.16526,0.98008,0.98908,0.98782,0.85183,0.64778,0.27512,1.18512,0.0047926,0.0047926,0.0047926
265,6662.32,0.67353,0.34102,1.15608,0.98007,0.98908,0.98783,0.85219,0.64792,0.27553,1.18512,0.0047728,0.0047728,0.0047728
266,6687.11,0.6804,0.34062,1.16283,0.98359,0.98522,0.98779,0.85315,0.64773,0.27527,1.18497,0.004753,0.004753,0.004753
267,6711.95,0.67941,0.34851,1.16036,0.9836,0.9852,0.98761,0.85266,0.6482,0.27539,1.18505,0.0047332,0.0047332,0.0047332
268,6736.8,0.6774,0.34329,1.15889,0.98358,0.98522,0.98757,0.85282,0.64757,0.27585,1.18454,0.0047134,0.0047134,0.0047134
269,6761.49,0.67907,0.34408,1.15621,0.98357,0.98523,0.98763,0.85039,0.64738,0.27718,1.1843,0.0046936,0.0046936,0.0046936
270,6786.25,0.67097,0.33341,1.15441,0.98359,0.98518,0.98765,0.85103,0.64737,0.27679,1.18445,0.0046738,0.0046738,0.0046738
271,6811.09,0.6731,0.34324,1.15524,0.98358,0.98516,0.98781,0.85188,0.64662,0.2762,1.18395,0.004654,0.004654,0.004654
272,6835.88,0.68476,0.34643,1.16697,0.98357,0.98517,0.98794,0.85043,0.64696,0.27688,1.18435,0.0046342,0.0046342,0.0046342
273,6860.57,0.67983,0.34107,1.16099,0.98356,0.98519,0.98812,0.85224,0.64705,0.279,1.18459,0.0046144,0.0046144,0.0046144
274,6885.37,0.67897,0.34041,1.15946,0.98359,0.98514,0.98787,0.85212,0.64699,0.27974,1.18452,0.0045946,0.0045946,0.0045946
275,6910.12,0.68471,0.33932,1.15992,0.98363,0.98512,0.98627,0.84997,0.64779,0.28033,1.18502,0.0045748,0.0045748,0.0045748
276,6934.8,0.67033,0.34548,1.15048,0.9836,0.98513,0.98548,0.84901,0.64755,0.27973,1.18486,0.004555,0.004555,0.004555
277,6959.56,0.67045,0.34148,1.1516,0.98357,0.98518,0.98522,0.84996,0.64772,0.2796,1.185,0.0045352,0.0045352,0.0045352
278,6984.35,0.6623,0.32974,1.14619,0.98349,0.98529,0.98694,0.85255,0.64721,0.27795,1.18481,0.0045154,0.0045154,0.0045154
279,7009.09,0.67604,0.34221,1.15812,0.98348,0.98535,0.98724,0.85366,0.64741,0.27823,1.1849,0.0044956,0.0044956,0.0044956
280,7033.82,0.66658,0.34232,1.1475,0.98348,0.98539,0.98735,0.85372,0.64745,0.27835,1.18486,0.0044758,0.0044758,0.0044758
281,7058.64,0.67007,0.34385,1.15271,0.98347,0.98542,0.98754,0.85438,0.64735,0.27803,1.18454,0.004456,0.004456,0.004456
282,7083.41,0.66759,0.33147,1.15106,0.98346,0.98547,0.98772,0.85502,0.64762,0.27869,1.18495,0.0044362,0.0044362,0.0044362
283,7108.22,0.66868,0.33778,1.14552,0.98345,0.98548,0.98781,0.8536,0.64755,0.27912,1.18501,0.0044164,0.0044164,0.0044164
284,7132.88,0.66596,0.33364,1.15055,0.98347,0.98545,0.98787,0.85319,0.64777,0.27928,1.18529,0.0043966,0.0043966,0.0043966
285,7157.66,0.66104,0.33514,1.14421,0.98346,0.98548,0.98809,0.85434,0.64751,0.27848,1.18492,0.0043768,0.0043768,0.0043768
286,7182.45,0.66908,0.33701,1.15431,0.98347,0.98548,0.98807,0.8536,0.64717,0.27876,1.18464,0.004357,0.004357,0.004357
287,7207.13,0.67241,0.33958,1.15239,0.98343,0.98553,0.98807,0.85432,0.6468,0.2793,1.18459,0.0043372,0.0043372,0.0043372
288,7231.69,0.66661,0.33954,1.14494,0.98341,0.98555,0.98808,0.85503,0.64679,0.27943,1.1841,0.0043174,0.0043174,0.0043174
289,7256.44,0.67212,0.34188,1.15547,0.9834,0.98554,0.98811,0.8557,0.64679,0.27869,1.18402,0.0042976,0.0042976,0.0042976
290,7281.16,0.67257,0.34692,1.14915,0.98342,0.98556,0.98822,0.85547,0.64725,0.27756,1.18438,0.0042778,0.0042778,0.0042778
291,7305.97,0.66256,0.32932,1.14489,0.98341,0.98558,0.9882,0.85483,0.64737,0.27731,1.18447,0.004258,0.004258,0.004258
292,7330.76,0.66335,0.34518,1.14625,0.98029,0.98928,0.98782,0.85539,0.64703,0.27773,1.18403,0.0042382,0.0042382,0.0042382
293,7355.59,0.66838,0.3351,1.1431,0.98025,0.98963,0.98787,0.85646,0.64697,0.27781,1.18377,0.0042184,0.0042184,0.0042184
294,7380.46,0.6634,0.33449,1.14589,0.98026,0.98963,0.98792,0.85573,0.6469,0.27824,1.18347,0.0041986,0.0041986,0.0041986
295,7405.21,0.66349,0.33184,1.14799,0.9802,0.98963,0.9881,0.85633,0.64707,0.27789,1.18373,0.0041788,0.0041788,0.0041788
296,7429.96,0.65789,0.33137,1.13917,0.98023,0.98963,0.98807,0.85616,0.64729,0.27821,1.18395,0.004159,0.004159,0.004159
297,7454.68,0.65884,0.33647,1.14653,0.98346,0.98555,0.98802,0.85555,0.64718,0.27831,1.18422,0.0041392,0.0041392,0.0041392
298,7479.51,0.66145,0.32965,1.14351,0.98019,0.98963,0.98803,0.85517,0.64739,0.27754,1.18446,0.0041194,0.0041194,0.0041194
299,7504.16,0.66552,0.32922,1.15452,0.98011,0.98963,0.98811,0.85379,0.64755,0.2784,1.18466,0.0040996,0.0040996,0.0040996
300,7528.91,0.66065,0.33316,1.14519,0.98019,0.98963,0.9881,0.85409,0.64761,0.27796,1.18482,0.0040798,0.0040798,0.0040798
301,7553.62,0.6611,0.33247,1.13999,0.98015,0.98963,0.98786,0.85501,0.64785,0.27847,1.18514,0.00406,0.00406,0.00406
302,7578.34,0.66695,0.33425,1.14032,0.9802,0.98963,0.98747,0.85463,0.64798,0.27872,1.18537,0.0040402,0.0040402,0.0040402
303,7602.89,0.65386,0.33239,1.14428,0.98014,0.98963,0.98652,0.85255,0.64778,0.2782,1.18523,0.0040204,0.0040204,0.0040204
304,7627.52,0.6636,0.33414,1.14231,0.9802,0.98963,0.98638,0.85224,0.64783,0.27838,1.1853,0.0040006,0.0040006,0.0040006
305,7652.16,0.6613,0.33376,1.14187,0.98019,0.98963,0.98685,0.85384,0.64747,0.27908,1.18536,0.0039808,0.0039808,0.0039808
306,7676.99,0.66002,0.33434,1.14371,0.98015,0.98963,0.98672,0.85481,0.64767,0.2786,1.18554,0.003961,0.003961,0.003961
307,7701.69,0.6536,0.32833,1.13514,0.98016,0.98963,0.98637,0.85379,0.64783,0.2789,1.18558,0.0039412,0.0039412,0.0039412
308,7726.29,0.65497,0.32653,1.13853,0.98017,0.98963,0.98607,0.85238,0.64771,0.278,1.18533,0.0039214,0.0039214,0.0039214
309,7751.11,0.65754,0.33802,1.14507,0.98017,0.98963,0.98625,0.85283,0.64772,0.27866,1.18575,0.0039016,0.0039016,0.0039016
310,7775.79,0.65812,0.32897,1.14108,0.98021,0.98963,0.98636,0.85208,0.64793,0.27851,1.18579,0.0038818,0.0038818,0.0038818
311,7800.47,0.65597,0.33109,1.13842,0.98022,0.98963,0.98613,0.85108,0.64791,0.27808,1.18602,0.003862,0.003862,0.003862
312,7825.36,0.65627,0.33004,1.1422,0.98016,0.98963,0.98617,0.85223,0.64792,0.27821,1.18611,0.0038422,0.0038422,0.0038422
313,7850.11,0.65335,0.32657,1.13588,0.98019,0.98963,0.98624,0.85149,0.64812,0.27777,1.18634,0.0038224,0.0038224,0.0038224
314,7874.9,0.65486,0.32709,1.13897,0.98026,0.98963,0.98628,0.85172,0.64825,0.27748,1.1863,0.0038026,0.0038026,0.0038026
315,7899.69,0.65377,0.32638,1.13123,0.9803,0.98963,0.98626,0.85209,0.64843,0.27733,1.18637,0.0037828,0.0037828,0.0037828
316,7924.49,0.64932,0.32664,1.13368,0.98034,0.98963,0.98623,0.8519,0.64865,0.27756,1.18652,0.003763,0.003763,0.003763
317,7949.29,0.6549,0.32562,1.1358,0.98034,0.98963,0.98636,0.85255,0.6485,0.27801,1.18614,0.0037432,0.0037432,0.0037432
318,7974.08,0.64582,0.32601,1.13266,0.98036,0.98963,0.98638,0.85311,0.64824,0.27832,1.18595,0.0037234,0.0037234,0.0037234
319,7998.93,0.65729,0.33418,1.14466,0.98038,0.98963,0.98651,0.85225,0.64831,0.27834,1.18593,0.0037036,0.0037036,0.0037036
320,8023.57,0.65494,0.33117,1.13557,0.98033,0.98963,0.98656,0.85155,0.6482,0.27815,1.18576,0.0036838,0.0036838,0.0036838
321,8048.35,0.64684,0.32462,1.13183,0.98033,0.98963,0.9867,0.85215,0.64827,0.27829,1.1861,0.003664,0.003664,0.003664
322,8073.15,0.65595,0.31974,1.1331,0.98033,0.98963,0.98718,0.8513,0.6484,0.27836,1.18626,0.0036442,0.0036442,0.0036442
323,8097.78,0.65048,0.32733,1.13706,0.98034,0.98963,0.9873,0.8516,0.64824,0.27777,1.18629,0.0036244,0.0036244,0.0036244
324,8122.52,0.64869,0.32544,1.13423,0.98036,0.98963,0.98738,0.85261,0.64847,0.27727,1.18648,0.0036046,0.0036046,0.0036046
325,8147.28,0.64403,0.32207,1.12974,0.9804,0.98963,0.98741,0.85189,0.64825,0.27744,1.18649,0.0035848,0.0035848,0.0035848
326,8171.8,0.64087,0.3234,1.12986,0.98045,0.98963,0.98778,0.85163,0.64819,0.27778,1.18635,0.003565,0.003565,0.003565
327,8196.33,0.65062,0.32814,1.13615,0.98041,0.98963,0.98767,0.85205,0.6482,0.27803,1.18638,0.0035452,0.0035452,0.0035452
328,8221.08,0.64783,0.3234,1.13041,0.9804,0.98963,0.98762,0.85296,0.64837,0.27856,1.18645,0.0035254,0.0035254,0.0035254
329,8245.88,0.65195,0.32369,1.13463,0.98036,0.98963,0.98757,0.85273,0.64801,0.27869,1.18644,0.0035056,0.0035056,0.0035056
330,8270.65,0.64164,0.31805,1.13103,0.98034,0.98963,0.98736,0.85242,0.6482,0.27853,1.18662,0.0034858,0.0034858,0.0034858
331,8295.52,0.65218,0.3242,1.13093,0.98039,0.98963,0.98734,0.85251,0.64813,0.27849,1.18658,0.003466,0.003466,0.003466
332,8320.29,0.6508,0.32496,1.13599,0.98036,0.98963,0.98725,0.85232,0.64795,0.27872,1.18656,0.0034462,0.0034462,0.0034462
333,8345,0.64578,0.31965,1.13415,0.98033,0.98963,0.98728,0.85246,0.64784,0.27946,1.18655,0.0034264,0.0034264,0.0034264
334,8369.77,0.65427,0.32795,1.13927,0.98033,0.98963,0.9875,0.85221,0.64772,0.27965,1.18655,0.0034066,0.0034066,0.0034066
335,8394.56,0.64446,0.31982,1.13119,0.98028,0.98963,0.98749,0.85366,0.6478,0.27939,1.18666,0.0033868,0.0033868,0.0033868
336,8419.35,0.62964,0.31693,1.12053,0.98028,0.98963,0.98751,0.85484,0.64769,0.27935,1.1865,0.003367,0.003367,0.003367
337,8444.11,0.64281,0.31753,1.13283,0.98028,0.98963,0.98741,0.8547,0.64766,0.2791,1.18636,0.0033472,0.0033472,0.0033472
338,8468.84,0.65145,0.32161,1.13646,0.98032,0.98963,0.98731,0.85403,0.64762,0.27942,1.1863,0.0033274,0.0033274,0.0033274
339,8493.49,0.65819,0.32086,1.13732,0.98035,0.98963,0.98735,0.85362,0.64775,0.27932,1.18641,0.0033076,0.0033076,0.0033076
340,8518.33,0.64626,0.32116,1.13135,0.98041,0.98963,0.98706,0.8531,0.64784,0.2794,1.18661,0.0032878,0.0032878,0.0032878
341,8543.06,0.64759,0.32834,1.13463,0.98037,0.98963,0.98683,0.85269,0.64806,0.27887,1.18669,0.003268,0.003268,0.003268
342,8567.85,0.63553,0.32132,1.12948,0.98037,0.98963,0.9868,0.85202,0.64796,0.27797,1.18673,0.0032482,0.0032482,0.0032482
343,8592.61,0.64452,0.32219,1.13259,0.98046,0.98963,0.98705,0.85251,0.648,0.27831,1.18706,0.0032284,0.0032284,0.0032284
344,8617.05,0.6423,0.32053,1.13165,0.98042,0.98963,0.98764,0.85279,0.64799,0.27783,1.18724,0.0032086,0.0032086,0.0032086
345,8641.5,0.63249,0.31386,1.11791,0.98044,0.98963,0.98768,0.85362,0.64807,0.27708,1.18712,0.0031888,0.0031888,0.0031888
346,8666.28,0.63174,0.31412,1.12025,0.98049,0.98963,0.98761,0.85226,0.64811,0.27735,1.18716,0.003169,0.003169,0.003169
347,8690.95,0.62876,0.31395,1.12108,0.98052,0.98963,0.98758,0.85271,0.64802,0.27742,1.18717,0.0031492,0.0031492,0.0031492
348,8715.7,0.64368,0.32264,1.12928,0.98056,0.98963,0.98748,0.85236,0.64791,0.27746,1.18714,0.0031294,0.0031294,0.0031294
349,8740.42,0.6316,0.31543,1.12393,0.98056,0.98963,0.98733,0.85247,0.64791,0.27682,1.18712,0.0031096,0.0031096,0.0031096
350,8765.23,0.63623,0.31392,1.12781,0.98057,0.98963,0.98728,0.85245,0.64817,0.27745,1.18743,0.0030898,0.0030898,0.0030898
351,8790.06,0.63644,0.31761,1.1291,0.98057,0.98963,0.98699,0.85339,0.64762,0.27685,1.18715,0.00307,0.00307,0.00307
352,8814.83,0.63526,0.31784,1.12744,0.98062,0.98963,0.98687,0.85314,0.64753,0.27649,1.187,0.0030502,0.0030502,0.0030502
353,8839.58,0.63499,0.31818,1.12637,0.98056,0.98963,0.98654,0.85278,0.64738,0.27638,1.18691,0.0030304,0.0030304,0.0030304
354,8864.29,0.63385,0.31929,1.12638,0.98054,0.98963,0.98644,0.85153,0.64745,0.27582,1.18694,0.0030106,0.0030106,0.0030106
355,8888.99,0.63346,0.31654,1.12188,0.98051,0.98963,0.98634,0.85146,0.64764,0.27546,1.18711,0.0029908,0.0029908,0.0029908
356,8913.76,0.62596,0.3142,1.12035,0.98046,0.98963,0.98628,0.85102,0.64781,0.27554,1.18747,0.002971,0.002971,0.002971
357,8938.52,0.62975,0.31325,1.12285,0.9804,0.98963,0.98628,0.85067,0.64818,0.27599,1.18759,0.0029512,0.0029512,0.0029512
358,8963.28,0.63617,0.31645,1.12236,0.98039,0.98963,0.98639,0.85024,0.64814,0.27564,1.18777,0.0029314,0.0029314,0.0029314
359,8987.88,0.63353,0.31679,1.12404,0.98035,0.98963,0.98685,0.85109,0.6483,0.27555,1.18762,0.0029116,0.0029116,0.0029116
360,9012.62,0.62723,0.31324,1.11917,0.98032,0.98963,0.9873,0.85158,0.64839,0.27626,1.18764,0.0028918,0.0028918,0.0028918
361,9037.25,0.62482,0.30271,1.11422,0.98032,0.98963,0.98715,0.85155,0.64839,0.27682,1.18771,0.002872,0.002872,0.002872
362,9061.96,0.63296,0.3193,1.1196,0.98029,0.98963,0.98692,0.85107,0.6483,0.27729,1.18778,0.0028522,0.0028522,0.0028522
